Date,Total_Revenue,Revenue_by_Product,Revenue_by_Service,Revenue_by_Region,Total_Expenses,Operational_Expenses,Salaries,Marketing_Expenses,RD_Expenses,Miscellaneous_Expenses,Gross_Profit,Net_Profit,Profit_Margin_Percentage,Cash_Inflows,Cash_Outflows,Net_Cash_Flow,Cash_Flow_from_Operating_Activities
2023-08-12,225516,Product A,Service C,Asia,224420,76280,86537,26220,16727,1821,17931,17931,0,860191,439610,420581,111478
2023-10-04,883597,Product B,Service A,South America,83773,198310,72023,22825,18232,2832,569375,569375,0,833383,666721,166662,728776
2024-05-11,709240,Product A,Service B,South America,313081,78638,75919,16225,20089,2850,515519,515519,0,812927,736376,76551,944800
2023-11-23,732110,Product B,Service C,Europe,356908,61356,70885,43178,21963,4764,529964,529964,0,894621,628116,266505,197186
2024-05-20,909133,Product A,Service C,Oceania,232822,44728,8155,31913,5000,3501,815836,815836,0,756636,592867,163769,349735
2024-04-04,817735,Product B,Service C,Asia,140371,32000,30570,3665,49604,3963,697933,697933,0,446422,302849,143573,84792
2023-10-05,822342,Product B,Service C,Asia,470750,75331,51660,19192,5769,2831,667559,667559,0,690577,846627,-156050,568431
2024-01-18,766826,Product A,Service B,North America,408148,74402,72490,23170,23609,699,572456,572456,0,950650,540898,409752,326129
2023-11-27,156032,Product C,Service A,Oceania,240653,53137,10014,44216,15392,1136,32137,32137,0,562714,317324,245390,483898
2023-09-14,757690,Product A,Service C,Africa,166642,82652,44290,48019,46595,1785,534349,534349,0,910515,897838,12677,881108
2023-11-14,238189,Product B,Service A,Oceania,298918,16971,68561,45055,37686,3547,66369,66369,0,958177,97673,860504,365699
2023-09-26,123357,Product B,Service B,South America,159585,87146,48517,12135,31833,3176,-59450,-59450,-100,177144,889741,-712597,766430
2023-06-16,619708,Product A,Service A,Asia,60865,110115,3892,18394,25544,1545,460218,460218,0,653952,547879,106073,28648
2024-02-03,247710,Product A,Service C,South America,450637,199720,80720,24455,44812,2107,-104104,-104104,-100,401006,347879,53127,4495
2024-05-08,933374,Product A,Service C,North America,122280,20076,92752,18603,44656,2404,754883,754883,0,541011,434708,106303,26245
2024-01-09,690698,Product A,Service C,Africa,390787,129097,84779,4008,6244,2824,463746,463746,0,464477,851252,-386775,598719
2024-05-08,931939,Product B,Service C,Oceania,90209,132600,77688,31986,2070,3510,684085,684085,0,808443,497335,311108,780838
2024-05-08,796017,Product C,Service C,Africa,392101,34104,20111,26092,31402,148,684160,684160,0,743993,571365,172628,867914
2023-07-25,42790,Product B,Service C,South America,230332,69871,9747,11278,42420,3139,-93665,-93665,-300,763140,80512,682628,455235
2024-02-02,20602,Product B,Service B,North America,460650,139025,18008,36997,26156,1020,-200604,-200604,-1000,418887,342141,76746,151009
2024-04-08,69284,Product A,Service A,North America,41158,29326,79409,49616,35060,4595,-128722,-128722,-200,850924,732686,118238,360911
2023-08-02,125215,Product C,Service A,Asia,36395,10060,42202,14858,18855,4389,34851,34851,0,27273,816018,-788745,365262
2023-09-03,674341,Product A,Service B,Africa,279841,156162,78340,36266,21995,2116,379462,379462,0,232299,674130,-441831,330602
2023-05-31,255112,Product A,Service C,Europe,361262,59997,87196,33049,14619,2506,57745,57745,0,397726,811791,-414065,809828
2023-06-12,530504,Product A,Service A,Asia,91454,79857,42031,49901,1409,3954,353352,353352,0,475113,273373,201740,530374
2024-03-03,405464,Product C,Service C,South America,478567,47662,84263,17161,34745,417,221216,221216,0,974382,214907,759475,3142
2023-09-18,456606,Product A,Service B,Africa,368833,186199,89825,31262,27707,678,120935,120935,0,943852,167663,776189,153736
2023-10-09,195699,Product B,Service A,Africa,497570,146736,45022,3310,38471,4161,-42001,-42001,-100,246638,54858,191780,384347
2024-05-14,759029,Product C,Service A,Africa,30979,185740,83722,25138,19861,678,443890,443890,0,57897,636070,-578173,663092
2023-07-02,450951,Product A,Service A,Africa,114948,19418,73469,32840,38168,1072,285984,285984,0,376864,22753,354111,564355
2023-07-22,664989,Product B,Service B,Oceania,71479,15784,90438,11172,12667,1166,533762,533762,0,981787,713159,268628,717157
2023-11-03,941346,Product C,Service B,Asia,410036,149495,82657,23974,45708,4225,635287,635287,0,885913,822247,63666,425746
2023-10-01,915515,Product A,Service C,Asia,208181,154807,73242,23031,33670,3332,627433,627433,0,910782,111318,799464,472477
2024-03-08,658311,Product A,Service C,Africa,445498,78714,90795,35681,30938,2834,419349,419349,0,128265,155425,-27160,617498
2023-09-14,309195,Product B,Service B,Oceania,147680,81327,73704,47302,22041,353,84468,84468,0,908313,884797,23516,229701
2023-08-09,945460,Product C,Service C,Africa,314794,46465,55599,39803,33637,2550,767406,767406,0,745079,704239,40840,472297
2023-10-13,465426,Product C,Service A,Africa,231040,68875,90701,9700,38001,2286,255863,255863,0,295954,329515,-33561,400978
2023-06-26,424834,Product C,Service A,South America,74801,151246,87520,27056,42983,3674,112355,112355,0,386527,216669,169858,857132
2023-11-13,941843,Product C,Service C,Europe,207086,159098,9272,31929,29334,751,711459,711459,0,315817,90416,225401,426154
2024-01-11,198236,Product C,Service B,Europe,367355,72852,30482,4940,4554,2545,82863,82863,0,766432,200744,565688,917048
2023-09-04,580161,Product A,Service A,South America,181516,137449,29977,32712,40273,2567,337183,337183,0,820883,494677,326206,814578
2024-03-25,235293,Product C,Service B,South America,484028,115464,82674,4467,26648,3859,2181,2181,0,321305,741169,-419864,677569
2023-08-29,916816,Product B,Service B,South America,347264,94909,79768,27172,47767,3770,663430,663430,0,104873,873328,-768455,831533
2023-07-21,356611,Product C,Service B,North America,69188,79557,54420,47513,28885,777,145459,145459,0,495405,804374,-308969,429934
2023-06-29,239067,Product B,Service A,North America,169842,20140,76550,7374,31388,4844,98771,98771,0,502031,768508,-266477,247424
2023-07-04,366102,Product C,Service C,Oceania,486325,9394,74170,20028,19329,2250,240931,240931,0,520894,258737,262157,826133
2024-05-09,307296,Product C,Service B,Oceania,201341,190578,23209,18142,17430,4540,53397,53397,0,554496,671182,-116686,339236
2023-09-20,678479,Product B,Service B,Africa,311407,172131,38638,18505,39521,2564,407120,407120,0,546351,671657,-125306,157795
2023-10-15,246254,Product B,Service B,Oceania,87486,196277,87630,29008,47128,2084,-115873,-115873,-100,438418,128859,309559,139825
2024-03-03,358902,Product A,Service A,South America,238226,52890,62952,14741,41231,3604,183484,183484,0,449613,130374,319239,390230
2023-11-13,451046,Product C,Service B,South America,471540,31064,77295,17578,40167,2936,282006,282006,0,609999,730859,-120860,189570
2023-09-05,613557,Product A,Service B,Oceania,130841,129684,30322,37505,20871,4237,390938,390938,0,482779,417865,64914,478860
2024-04-07,832859,Product B,Service C,Africa,215177,42620,15299,8844,34234,3695,728167,728167,0,211837,379450,-167613,657684
2023-07-20,737425,Product B,Service C,Asia,476481,74258,23388,13208,14158,4162,608251,608251,0,113752,573111,-459359,443938
2023-09-07,467632,Product C,Service A,North America,486907,140127,41153,30824,32480,4696,218352,218352,0,463545,298562,164983,911479
2023-08-19,355289,Product B,Service C,Oceania,139198,96493,28948,11933,35285,1891,180739,180739,0,75194,517575,-442381,969359
2023-06-27,464306,Product B,Service B,Africa,109472,134170,58835,16158,29538,1791,223814,223814,0,478914,488509,-9595,748045
2023-08-01,742298,Product B,Service A,Europe,370741,127381,49189,28674,14755,2870,519429,519429,0,814882,646433,168449,418066
2023-11-09,537356,Product B,Service C,Europe,284795,187333,80812,39186,7420,4650,217955,217955,0,242619,823334,-580715,911981
2023-10-21,908164,Product B,Service A,Africa,306794,160369,40203,10204,5534,607,691247,691247,0,695675,41861,653814,492818
2023-09-22,688834,Product B,Service A,Oceania,248260,142186,8516,4338,8523,412,524859,524859,0,398335,867570,-469235,347345
2023-09-30,513313,Product C,Service C,Asia,276332,148801,62391,27070,4562,2439,268050,268050,0,496171,767318,-271147,973419
2023-10-31,388532,Product A,Service B,Africa,314275,98306,17368,5389,33556,210,233703,233703,0,369933,50237,319696,877134
2023-05-26,618586,Product C,Service B,Europe,377261,82347,24257,7164,37103,4300,463415,463415,0,129979,579654,-449675,804575
2024-02-10,142950,Product B,Service C,Europe,485548,104232,96442,14579,22671,4061,-99035,-99035,-100,683645,365952,317693,631253
2023-08-23,220947,Product B,Service C,Asia,381688,144617,40711,32710,29217,2415,-28723,-28723,-100,397598,367960,29638,454446
2023-09-25,814854,Product A,Service B,North America,258043,129111,16461,2469,31923,3329,631561,631561,0,758383,765195,-6812,417503
2023-11-03,339359,Product B,Service A,South America,391506,27143,47985,18557,37635,2689,205350,205350,0,381202,216919,164283,115740
2023-08-21,983149,Product C,Service C,North America,95567,30956,17507,42421,13075,1277,877913,877913,0,118217,886657,-768440,626350
2023-06-10,836290,Product B,Service A,Asia,214683,74915,52258,3032,4851,1436,699798,699798,0,613823,332721,281102,914603
2023-12-22,998504,Product B,Service B,Oceania,448217,132153,97330,39754,2438,2209,724620,724620,0,148838,273377,-124539,70844
2024-03-10,468734,Product A,Service C,Europe,369570,29784,98828,7753,10673,450,321246,321246,0,262022,892300,-630278,783661
2023-11-24,21932,Product A,Service B,Oceania,85154,38417,73133,20916,43754,570,-154858,-154858,-800,193453,868538,-675085,670678
2023-10-16,985091,Product A,Service C,Europe,326263,163378,24359,41915,21730,891,732818,732818,0,594325,643769,-49444,668564
2023-08-21,387787,Product A,Service C,South America,360540,178607,34593,43028,34244,1749,95566,95566,0,148987,777895,-628908,456048
2024-03-04,969522,Product B,Service A,Africa,143545,100235,51726,23370,28049,3357,762785,762785,0,912550,61352,851198,107644
2023-06-09,382112,Product C,Service B,South America,205061,38199,23948,33460,30754,4825,250926,250926,0,435448,426004,9444,155028
2024-04-20,69202,Product A,Service A,South America,379137,138078,25795,40498,41413,2773,-179355,-179355,-300,427396,17607,409789,222634
2024-03-01,759311,Product B,Service A,South America,152427,144331,57500,48585,7921,769,500205,500205,0,629129,188944,440185,844025
2023-09-26,561079,Product B,Service C,Europe,216468,24990,10556,36587,1380,2355,485211,485211,0,983288,874119,109169,612425
2023-11-07,590073,Product B,Service B,Asia,245406,39597,95640,46357,25938,1888,380653,380653,0,67319,272561,-205242,341696
2023-07-05,244816,Product B,Service A,Oceania,225689,68974,16245,48429,12368,4140,94660,94660,0,985064,502791,482273,178081
2023-12-11,924669,Product B,Service A,Oceania,479945,68452,35416,32856,20401,689,766855,766855,0,32408,608781,-576373,474627
2024-04-07,244570,Product C,Service A,Africa,137782,12123,57322,17563,17138,3903,136521,136521,0,855215,679953,175262,933177
2024-05-07,976340,Product A,Service A,Africa,65906,177186,65735,15925,34252,4158,679084,679084,0,196663,684552,-487889,24966
2024-02-11,64153,Product A,Service C,Oceania,312539,30647,28227,20611,44932,3888,-64152,-64152,-100,378703,703944,-325241,483348
2023-08-22,833968,Product C,Service C,South America,411409,148038,13378,6671,19537,502,645842,645842,0,654807,332171,322636,533374
2024-01-23,317867,Product A,Service C,Oceania,292336,121601,18350,4550,8389,753,164224,164224,0,722185,426931,295254,712237
2024-04-12,765168,Product A,Service A,Asia,166078,162680,65464,13551,20195,4572,498706,498706,0,102158,561754,-459596,628251
2023-10-24,534739,Product A,Service A,Asia,386147,148858,27691,4415,22423,2326,329026,329026,0,451485,630924,-179439,593935
2024-04-13,868546,Product B,Service B,Asia,36529,101895,10092,4679,30675,182,721023,721023,0,46548,119103,-72555,245598
2023-10-09,564688,Product A,Service A,Africa,79340,111673,58043,28830,12993,3939,349210,349210,0,11389,7077,4312,46719
2024-04-23,628120,Product C,Service C,Africa,102508,196616,63157,49841,49141,1750,267615,267615,0,589604,647317,-57713,312291
2023-07-24,840570,Product A,Service C,South America,202232,124093,84032,12162,16819,1617,601847,601847,0,752917,39476,713441,732237
2023-12-29,132779,Product B,Service B,Oceania,78078,130390,7089,29195,21219,3973,-59087,-59087,-100,226753,541636,-314883,323324
2023-06-22,313954,Product B,Service A,Asia,394581,186874,13845,36782,43369,249,32835,32835,0,57326,633328,-576002,715922
2023-09-25,590328,Product B,Service C,Asia,118387,88267,70000,33608,26899,2363,369191,369191,0,978161,59897,918264,415430
2023-10-05,867804,Product A,Service B,South America,136067,147196,81877,46684,22836,2875,566336,566336,0,991858,534657,457201,679227
2023-10-16,376768,Product B,Service B,Africa,87931,62200,5181,36465,39787,1924,231211,231211,0,647062,677174,-30112,656428
2023-11-19,380746,Product A,Service C,North America,251760,7955,71569,4188,17398,2766,276870,276870,0,753999,79656,674343,583447
2023-10-02,39016,Product A,Service A,Europe,282129,14636,41095,47485,17145,4358,-85703,-85703,-300,826127,750195,75932,76979
2023-07-03,929226,Product B,Service C,Africa,104148,174114,3150,41520,7241,4609,698592,698592,0,226594,291002,-64408,214078
2023-07-19,729235,Product B,Service A,South America,331772,91346,51959,3314,10689,3446,568481,568481,0,910678,280586,630092,486347
2023-05-31,169950,Product C,Service C,South America,371938,157939,19398,47350,21269,931,-76937,-76937,-100,647656,725401,-77745,825983
2024-03-19,921369,Product C,Service B,Africa,368912,179634,28832,24609,29149,3186,655959,655959,0,477186,660253,-183067,23177
2023-11-20,47492,Product B,Service C,Asia,143494,40728,80953,38175,2639,2676,-117679,-117679,-300,144004,727607,-583603,690603
2024-03-02,275300,Product A,Service B,North America,330650,133154,50592,25118,17994,4837,43605,43605,0,824251,49657,774594,986119
2023-08-04,741101,Product A,Service A,Europe,211669,98545,25337,16977,10379,2461,587402,587402,0,147080,424510,-277430,731268
2024-02-13,541844,Product C,Service A,North America,356062,100525,27265,49492,27125,834,336603,336603,0,296784,225397,71387,565987
2023-06-19,560517,Product C,Service B,South America,474581,27733,9723,27974,10329,895,483863,483863,0,433045,177390,255655,270755
2024-01-29,840714,Product B,Service A,Europe,492089,43174,95661,11504,23023,4612,662740,662740,0,228368,333438,-105070,815821
2023-05-30,504039,Product B,Service A,Africa,122335,102233,18416,12639,13684,1292,355775,355775,0,697163,719996,-22833,14829
2023-07-31,190984,Product B,Service C,Africa,115621,88899,18360,29663,20489,1687,31886,31886,0,43204,315695,-272491,386433
2023-07-21,729867,Product B,Service A,Europe,136644,187876,8861,46120,28297,1699,457014,457014,0,593648,667793,-74145,258006
2023-09-21,237987,Product C,Service A,South America,155022,131125,25222,4290,49305,1035,27010,27010,0,599262,169096,430166,541393
2024-04-03,132779,Product A,Service B,South America,312145,194559,88153,43081,6555,3145,-202714,-202714,-200,727610,775625,-48015,421353
2023-12-12,399873,Product C,Service C,Africa,321638,116426,23285,32250,31842,750,195320,195320,0,397609,740935,-343326,565471
2023-06-23,321627,Product B,Service C,Africa,104427,109666,57611,38483,26671,3653,85543,85543,0,795268,344520,450748,515831
2024-03-31,887615,Product B,Service B,North America,428147,199305,47670,2049,43419,268,594904,594904,0,97758,560403,-462645,327840
2023-07-31,479935,Product A,Service B,Europe,393741,182596,46299,8669,10056,1549,230766,230766,0,388401,567476,-179075,121593
2023-07-12,28458,Product C,Service C,Asia,179935,189024,88442,12671,45632,2890,-310201,-310201,-1100,269931,421743,-151812,112375
2024-03-04,105812,Product B,Service C,Asia,211346,65579,95975,42640,32962,4998,-136342,-136342,-200,761684,232527,529157,562853
2023-06-17,793162,Product B,Service B,Oceania,339465,164387,2215,17885,36671,4712,567292,567292,0,19409,423332,-403923,931494
2023-06-12,204930,Product A,Service A,Asia,34845,78069,80887,47325,2808,138,-4297,-4297,-100,124643,819149,-694506,678744
2023-12-09,243556,Product C,Service A,Africa,41721,12529,11763,11011,27478,2745,178030,178030,0,504169,428992,75177,411905
2023-08-10,451296,Product A,Service A,Oceania,189795,129512,35525,16746,42882,1751,224880,224880,0,575158,373730,201428,538241
2023-12-09,562169,Product B,Service C,South America,120096,142975,35311,31516,19891,2328,330148,330148,0,959383,890785,68598,328611
2024-03-04,900212,Product A,Service B,Asia,82972,132069,25207,9233,6431,1294,725978,725978,0,254702,671707,-417005,964257
2024-03-29,199382,Product A,Service A,South America,174186,44472,65185,7359,28098,2711,51557,51557,0,901470,393171,508299,75279
2023-06-27,212486,Product B,Service B,Africa,469519,151419,25037,9028,7224,4858,14920,14920,0,289458,568595,-279137,9407
2024-01-17,905306,Product A,Service B,South America,29808,198223,46330,5335,45423,2257,607738,607738,0,696078,103534,592544,283478
2023-12-13,893667,Product B,Service C,Oceania,69285,123542,54171,7982,12951,1817,693204,693204,0,659844,135658,524186,131866
2024-03-12,656215,Product A,Service A,North America,198792,149344,9030,32538,6360,3733,455210,455210,0,995274,575391,419883,941071
2023-07-28,826740,Product C,Service A,Africa,343980,56674,19607,30689,11653,1613,706504,706504,0,997112,217178,779934,323681
2024-04-17,297372,Product A,Service C,Africa,101795,103446,36753,13588,3056,4094,136435,136435,0,994655,471211,523444,761514
2023-11-03,53868,Product A,Service C,Asia,261991,24729,97274,9360,21951,1327,-100773,-100773,-200,353409,187590,165819,630508
2023-07-06,673962,Product C,Service A,Africa,125163,117541,6431,25312,2391,4156,518131,518131,0,905031,288155,616876,180183
2023-10-29,630712,Product A,Service A,Asia,186254,109941,57520,37446,35968,1181,388656,388656,0,875202,867993,7209,788888
2023-09-26,938069,Product A,Service C,Europe,103452,187532,78781,14245,47838,1565,608108,608108,0,109369,386769,-277400,805147
2023-11-20,839185,Product A,Service B,Europe,482717,186926,75834,44815,46068,1864,483678,483678,0,692558,858796,-166238,729074
2023-11-08,619134,Product A,Service C,Africa,442874,173072,86601,48479,47449,3387,260146,260146,0,513741,725848,-212107,799518
2023-11-25,408416,Product C,Service B,South America,11536,107570,44389,48871,1940,4698,200948,200948,0,463675,566321,-102646,673472
2023-09-14,276972,Product C,Service C,South America,89310,129438,7524,12993,31633,107,95277,95277,0,494752,309499,185253,959402
2024-01-03,251243,Product A,Service C,Oceania,201233,21789,42851,42007,40211,2497,101888,101888,0,679729,463781,215948,522199
2023-12-17,71116,Product A,Service A,North America,15391,167926,15606,10601,49147,3838,-176002,-176002,-300,138108,620100,-481992,516785
2024-02-29,253699,Product B,Service A,Europe,351193,71131,67546,16366,42178,1202,55276,55276,0,851040,514863,336177,631910
2024-01-31,819332,Product C,Service B,South America,110190,157409,57887,40232,16895,4936,541973,541973,0,340620,326612,14008,626438
2023-08-23,130915,Product B,Service A,Asia,132483,118778,9768,18842,7328,892,-24693,-24693,-100,937867,431281,506586,666513
2024-01-13,287537,Product C,Service C,Europe,354207,77713,32904,2344,46942,4785,122849,122849,0,623014,352720,270294,272135
2023-08-12,990963,Product C,Service A,Europe,182849,143223,27007,10798,31164,912,777859,777859,0,975110,877525,97585,611757
2024-05-23,675530,Product C,Service C,North America,374948,96042,51724,41123,27836,3105,455700,455700,0,287354,306848,-19494,930118
2024-04-04,906469,Product B,Service B,North America,363842,179762,75473,22310,13310,1055,614559,614559,0,124891,139954,-15063,655042
2024-04-09,560125,Product C,Service A,Africa,205050,148926,42594,3599,29685,3307,332014,332014,0,171447,625012,-453565,852612
2023-12-11,445689,Product A,Service B,Europe,28200,132389,76574,22674,34209,1432,178411,178411,0,107061,213555,-106494,603607
2024-05-03,999774,Product C,Service A,North America,485706,116934,57997,36911,5948,1998,779986,779986,0,50108,376358,-326250,281223
2023-06-13,627508,Product A,Service C,North America,452674,175245,47850,48979,38317,3156,313961,313961,0,298753,303566,-4813,593411
2023-08-23,83365,Product B,Service B,Europe,79884,10194,15476,23993,5869,1089,26744,26744,0,840951,139868,701083,11091
2024-01-06,338214,Product C,Service A,Oceania,269634,165741,68687,15417,44381,486,43502,43502,0,898315,557363,340952,542536
2023-09-29,285182,Product A,Service C,Europe,221945,133835,95008,41199,14688,2877,-2425,-2425,-100,180220,545927,-365707,738239
2023-10-31,758756,Product C,Service C,Africa,302743,35943,79746,17550,45927,718,578872,578872,0,945634,146866,798768,278931
2023-11-13,309613,Product B,Service A,Asia,442931,90694,38325,40975,14515,4022,121082,121082,0,278550,387213,-108663,178105
2023-08-18,466880,Product B,Service C,Africa,311467,80210,21185,12465,8708,1857,342455,342455,0,821758,202162,619596,724465
2023-10-27,96821,Product B,Service B,Europe,285605,43686,45402,5347,15555,2441,-15610,-15610,-100,88918,591348,-502430,400187
2023-07-08,365299,Product B,Service B,Africa,264944,185650,60895,45396,38582,1960,32816,32816,0,616853,501703,115150,807069
2024-04-06,999497,Product C,Service B,Oceania,190943,45127,79545,44800,2318,2961,824746,824746,0,519990,217666,302324,434599
2023-07-15,780415,Product B,Service C,Europe,491477,122368,65843,46276,19627,1604,524697,524697,0,469301,717911,-248610,791060
2023-07-13,210265,Product A,Service B,Asia,237892,110279,8824,14101,26667,4270,46124,46124,0,95286,611019,-515733,639556
2023-12-25,336844,Product A,Service A,North America,101478,76047,37310,31626,11472,410,179979,179979,0,956762,326462,630300,821168
2024-01-03,737640,Product A,Service B,Africa,224460,78206,44333,24985,26454,2136,561526,561526,0,657500,801953,-144453,888484
2023-11-12,563084,Product C,Service C,Oceania,34325,140793,6600,31393,31882,920,351496,351496,0,51303,474757,-423454,611984
2023-07-04,969313,Product A,Service A,South America,381792,64164,54909,38576,43598,4789,763277,763277,0,146358,357254,-210896,159056
2023-11-02,324803,Product A,Service B,South America,253916,89045,6268,34982,14099,2078,178331,178331,0,683689,407864,275825,604175
2024-05-06,311845,Product B,Service B,Africa,333235,65002,37093,1615,5698,4467,197970,197970,0,678570,642201,36369,357862
2024-03-15,59468,Product A,Service A,South America,263312,23474,81791,15579,18307,4810,-84493,-84493,-200,692161,313053,379108,243867
2023-10-14,207865,Product C,Service B,Europe,249905,31044,26279,25158,44111,1130,80143,80143,0,70816,286172,-215356,698334
2023-08-26,95952,Product C,Service B,Africa,42771,35819,41203,6764,46998,3007,-37839,-37839,-100,268972,579968,-310996,971907
2024-02-05,992399,Product C,Service A,Europe,189638,139551,85935,24499,34359,1396,706659,706659,0,207135,96459,110676,14927
2024-02-24,50258,Product C,Service B,South America,318046,132467,28001,48061,49703,2481,-210455,-210455,-500,417004,459017,-42013,812909
2023-06-15,515229,Product C,Service A,South America,490442,114783,72347,9653,16994,1544,299908,299908,0,579958,657279,-77321,744271
2023-09-23,139103,Product A,Service A,Asia,360851,188314,70698,13571,29348,3002,-165830,-165830,-200,39640,382891,-343251,17343
2024-02-23,772926,Product A,Service B,North America,51782,16373,12546,44071,46332,3451,650153,650153,0,23628,713836,-690208,246492
2023-05-28,115398,Product A,Service B,North America,248740,5756,57685,44614,11464,1000,-5121,-5121,-100,476788,881187,-404399,284791
2023-06-18,343315,Product A,Service A,North America,454408,145205,71050,1394,31824,2075,91767,91767,0,803701,573001,230700,265911
2023-07-11,974460,Product A,Service B,South America,55217,123916,60112,15626,25774,447,748585,748585,0,291903,331652,-39749,346769
2024-05-03,943497,Product A,Service C,Europe,337612,147882,52869,10888,10350,4402,717106,717106,0,930013,52756,877257,926091
2024-02-18,518403,Product B,Service B,North America,339088,111031,46672,28935,2306,4159,325300,325300,0,987284,590837,396447,461427
2024-03-11,589233,Product B,Service A,South America,472756,31001,54123,26322,13352,2263,462172,462172,0,325434,720638,-395204,335320
2023-11-21,736335,Product C,Service A,South America,113686,26130,29465,41164,35534,722,603320,603320,0,535614,470782,64832,476301
2024-01-25,257065,Product B,Service B,South America,289966,184377,88445,26751,26500,1299,-70307,-70307,-100,596180,767760,-171580,313590
2024-04-26,377966,Product A,Service A,Africa,456464,95978,75903,19049,16445,2185,168406,168406,0,679041,619280,59761,365934
2024-02-04,888936,Product C,Service B,Africa,407633,142079,65230,12612,9181,580,659254,659254,0,379780,770573,-390793,215764
2023-11-14,510480,Product A,Service A,Oceania,141192,99399,43506,4195,40614,3807,318959,318959,0,453892,668938,-215046,331835
2023-11-08,643014,Product B,Service C,North America,290881,184960,98228,15398,19211,574,324643,324643,0,815272,868306,-53034,771438
2024-04-24,270046,Product A,Service C,South America,446549,31653,41771,31988,34842,4128,125664,125664,0,752200,528561,223639,818664
2023-09-18,46896,Product A,Service B,Asia,429057,195188,40941,20008,17587,1180,-228008,-228008,-500,592310,558435,33875,475532
2023-12-24,288052,Product B,Service C,Europe,46657,105724,33621,15499,45328,3893,83987,83987,0,70044,637927,-567883,624903
2023-06-18,369993,Product B,Service A,Africa,15890,139648,86124,37563,34863,4078,67717,67717,0,666752,779509,-112757,965463
2024-04-29,937579,Product A,Service C,Oceania,83451,19308,10564,34659,40323,315,832410,832410,0,738360,550727,187633,687715
2023-05-30,762913,Product B,Service B,Africa,200402,68564,6558,39425,3137,1941,643288,643288,0,408428,695799,-287371,567582
2023-06-17,356459,Product A,Service A,Asia,313596,58110,19679,6112,39217,4606,228735,228735,0,957792,111946,845846,398838
2024-04-08,950275,Product B,Service B,Africa,123781,55068,53555,42748,22173,584,776147,776147,0,602438,326627,275811,141862
2023-09-26,854238,Product A,Service C,Africa,470065,174680,42080,30016,1233,1865,604364,604364,0,133282,592899,-459617,504282
2024-04-07,704053,Product A,Service B,South America,122023,165230,98790,49776,12011,4901,373345,373345,0,933866,536206,397660,970832
2024-03-07,224020,Product B,Service B,Africa,69467,112247,45537,18171,28954,2610,16501,16501,0,97929,699672,-601743,58819
2023-06-07,722897,Product C,Service C,Asia,464881,176238,20061,12060,16754,914,496870,496870,0,109655,653681,-544026,879162
2023-12-13,345763,Product B,Service C,North America,458674,90390,18652,5669,36284,4092,190676,190676,0,869592,459687,409905,58233
2023-07-16,460848,Product B,Service A,Africa,187620,27357,91278,6447,15886,4115,315765,315765,0,525846,501795,24051,543046
2024-03-23,619731,Product C,Service C,South America,136759,53069,23712,26977,35564,3544,476865,476865,0,270021,672091,-402070,310085
2024-02-13,656265,Product B,Service C,Africa,102682,163038,38813,34048,31268,723,388375,388375,0,424106,764859,-340753,808059
2023-11-03,110469,Product A,Service C,Asia,359532,196691,86348,12609,23314,4403,-212896,-212896,-200,131458,627788,-496330,875494
2023-10-15,419710,Product C,Service A,South America,311132,137626,53753,4057,10920,489,212865,212865,0,227659,113561,114098,169958
2023-11-29,769254,Product B,Service A,South America,81146,89337,45531,32468,45623,1513,554782,554782,0,147061,339394,-192333,518019
2023-08-17,137258,Product C,Service B,Africa,185745,147206,39466,48809,29359,740,-128322,-128322,-100,502274,394157,108117,436378
2024-04-12,409607,Product A,Service C,Oceania,49049,180343,34705,45191,1205,3988,144175,144175,0,269162,199026,70136,340278
2024-04-25,555224,Product C,Service A,North America,464592,148942,2733,13398,45685,4991,339475,339475,0,74625,301423,-226798,682549
2023-06-19,362125,Product C,Service A,Africa,285623,173843,73338,13204,7020,1327,93393,93393,0,593046,681889,-88843,985680
2024-01-02,156817,Product A,Service B,Africa,492869,158193,34580,46694,25193,3063,-110906,-110906,-100,705233,101113,604120,996265
2023-08-22,644809,Product A,Service C,South America,466183,192541,76647,37074,25155,4558,308834,308834,0,169751,638392,-468641,602648
2024-04-01,752769,Product C,Service A,Europe,52536,140016,67199,38431,48380,2659,456084,456084,0,838061,767522,70539,413676
2023-10-29,899226,Product C,Service A,Africa,210020,83983,76146,29301,24757,4531,680508,680508,0,771677,793208,-21531,577532
2023-12-02,39071,Product A,Service C,Europe,352527,43610,15522,42044,21547,4382,-88034,-88034,-300,654630,111195,543435,731882
2023-12-01,181299,Product A,Service B,North America,114740,157489,27959,10249,10603,4180,-29181,-29181,-100,934616,376851,557765,35291
2024-05-16,956527,Product A,Service C,Europe,310685,9018,47120,2988,31171,1490,864740,864740,0,384501,873537,-489036,454632
2023-06-03,596821,Product C,Service B,South America,338449,109463,90198,34838,35833,2972,323517,323517,0,382727,38830,343897,27350
2024-03-27,217307,Product C,Service A,South America,483857,103177,6252,4017,35566,1655,66640,66640,0,404690,26623,378067,869820
2023-11-24,11237,Product C,Service A,Africa,188960,155655,68651,16216,2503,4616,-236404,-236404,-2200,113446,232837,-119391,900192
2023-07-20,828319,Product C,Service C,South America,128965,30597,39429,3137,18057,1907,735192,735192,0,948808,127394,821414,817817
2023-10-19,112618,Product A,Service B,Asia,461297,131330,92287,13872,25647,586,-151104,-151104,-200,717256,367633,349623,787402
